initial_state,full_control_sequence
"[-0.22165832443879918, 0.07604916854347332, -0.02265400016109917, 0.05426556313641856]","[ 0.17363132  0.10771547  0.0637855   0.03333074  0.01179888 -0.00351655
 -0.01436324 -0.02193549 -0.0270798  -0.03041061]"
"[0.16566576518659593, -0.2965524783490211, -0.03637958245864609, 0.032804139103974506]","[0.19322366 0.20031946 0.19432378 0.18199831 0.16676379 0.15048472
 0.13422649 0.11860545 0.10396787 0.09049076]"
"[-0.2849223775303067, -0.014656009402342296, -0.0723858061470029, 0.08331611078226575]","[ 0.7281863   0.42182117  0.23684567  0.1200275   0.04470052 -0.00393725
 -0.03483892 -0.05375905 -0.06453941 -0.0698011 ]"
"[0.2514245512705687, -0.1818173199090376, -0.04145234313281658, 0.2833600252792993]","[-0.28309126 -0.07194119  0.03328257  0.08700667  0.11340374  0.12427005
  0.12595364  0.12216544  0.11520299  0.10653521]"
"[0.2634663112441991, 0.4046033389205468, 0.03388604002026861, -0.20236029965040303]","[ 0.72903356 -0.00959272 -0.37575932 -0.54601635 -0.60710802 -0.60577886
 -0.56917811 -0.51385982 -0.45014867 -0.38448494]"
"[0.25123029725722285, -0.1592876671884894, -0.033858374276800204, 0.1411287405693516]","[0.05096005 0.04660677 0.04037534 0.03582318 0.03328219 0.03224006
 0.03210331 0.03240224 0.03281527 0.03314291]"
"[-0.1030597586792707, -0.054047122068300646, -0.04588487740734722, 0.1856436801807707]","[0.04884612 0.10194509 0.11613694 0.11361513 0.1038412  0.09114445
 0.07764973 0.06445311 0.0521254  0.04094707]"
"[0.2732072259990222, -0.144629272541472, 0.08317462109984129, 0.2196257793420741]","[-1.00000001 -1.00000001 -1.00000001 -1.00000001 -1.00000001 -0.56782935
  0.18209217  0.5709138   0.75562933  0.82032396]"
"[0.1603645931322214, 0.3549959226649487, -0.012075416940580605, 0.1672103848334514]","[ 0.23341901 -0.1284026  -0.30971361 -0.39064872 -0.4135578  -0.40272964
 -0.37291069 -0.33333397 -0.28982955 -0.24603924]"
"[-0.19719178657154202, -0.07895483513603957, 0.08102806706892897, 0.18068492711776213]","[-1.00000001 -1.00000001 -1.00000001 -1.00000001 -0.52943958  0.20464771
  0.57954199  0.7519257   0.80589992  0.79032255]"
