initial_state,first_control
[-0.23588015 -0.1846192  -0.02505178 -0.0768154 ],0.263567020146759
[-0.25434207 -0.14003899 -0.03273332 -0.02671413],0.2826427625486656
[-0.26834597 -0.09485544 -0.03540473  0.00607801],0.2769950119371221
[-0.27783152 -0.05223506 -0.03479693  0.02591682],0.257131322803524
[-0.28305502 -0.01383913 -0.03220525  0.03668162],0.22979781442048489
"[0.07732108026036144, -0.2866198025264245, -0.06636912807333106, -0.2111118603950935]",1.0000000092383683
[ 0.0486591  -0.11734379 -0.08748031  0.04957713],1.000000006334917
[ 0.03692472  0.04320838 -0.0825226   0.23673516],0.6808849759079084
[ 0.04124556  0.14414859 -0.05884909  0.28697751],0.28452853263074035
[ 0.05566042  0.17752201 -0.03015133  0.22626221],0.059859296773018884
[ 0.07341262  0.17711408 -0.00752511  0.1513791 ],-0.066962505410271
[0.09112403 0.15970535 0.0076128  0.08941445],-0.13495205689207845
[0.10709456 0.13429933 0.01655424 0.04453687],-0.1666104099004052
[0.1205245  0.10599026 0.02100793 0.0143046 ],-0.17577012682471332
[ 0.13112352  0.07772165  0.02243839 -0.00491614],-0.17127026930454398
"[-0.2490122316599821, -0.17202700254390085, 0.018178732602866565, 0.21222520668381167]",-1.0000000086507645
[-0.26621493 -0.34583694  0.03940125 -0.17786264],-0.6834252871970367
[-0.30079863 -0.45325747  0.02161499 -0.34995121],-0.04057093253577876
[-0.34612437 -0.44660629 -0.01338013 -0.28037168],0.2920547592554427
[-0.390785   -0.38895901 -0.0414173  -0.16900493],0.454135128660445
[-0.4296809  -0.31038903 -0.05831779 -0.0740049 ],0.5177500584565164
[-0.46071981 -0.22620134 -0.06571828 -0.00635956],0.5234934513043188
[-0.48333994 -0.14447986 -0.06635424  0.03698997],0.4957543110532967
[-0.49778793 -0.06945868 -0.06265524  0.06202792],0.449757533621638
[-0.50473379 -0.00317636 -0.05645245  0.07427648],0.3951524712265138
"[0.005532073652660119, 0.09122901721056476, -0.04877343067940565, 0.051697582235438355]",0.7419230736815576
[ 0.01465498  0.21141313 -0.04360367  0.23273958],0.27558278055488655
[ 0.03579629  0.24601109 -0.02032971  0.21243524],0.021469586753002704
[0.0603974  0.24000273 0.00091381 0.1476097 ],-0.11686287904341136
[0.08439767 0.21463327 0.01567478 0.08641315],-0.18787002078040582
[0.105861   0.18076204 0.02431609 0.04011872],-0.21830342065715003
[0.1239372  0.14428431 0.02832797 0.00847576],-0.22408545157046827
[ 0.13836563  0.10849166  0.02917554 -0.01162616],-0.21517224285298045
[ 0.1492148   0.07519742  0.02801293 -0.02340465],-0.19795185628285705
[ 0.15673454  0.04532904  0.02567246 -0.02946514],-0.17655361244112414
"[0.17865033941429215, 0.20992209879130141, 0.0873983594890393, -0.11693055599552066]",-0.675373895123965
[ 0.19964255  0.10668012  0.0757053  -0.16098142],-0.47749613417784764
[ 0.21031056  0.03816578  0.05960716 -0.14684083],-0.3451255881571536
[ 0.21412714 -0.00933968  0.04492308 -0.11960441],-0.2514434869064607
[ 0.21319317 -0.04287418  0.03296264 -0.09340652],-0.18279351750713385
[ 0.20890575 -0.06651482  0.02362199 -0.07176958],-0.13140777234713777
[ 0.20225427 -0.08288003  0.01644503 -0.05482305],-0.09243507095746233
[ 0.19396627 -0.09378055  0.01096272 -0.04179411],-0.06263371450301852
[ 0.18458821 -0.10053022  0.00678331 -0.03181642],-0.03973782582188615
[ 0.17453519 -0.10411173  0.00360167 -0.02415539],-0.022115872369543037
"[0.23747514601351621, -0.050746293054743596, 0.09139067587794834, -0.20332927023750613]",-0.7810137986796675
[ 0.23240052 -0.16738229  0.07105775 -0.27109478],-0.40584871376278747
[ 0.21566229 -0.21912549  0.04394827 -0.22640544],-0.18322004831012695
[ 0.19374974 -0.23669944  0.02130773 -0.16268757],-0.04798740293925285
[ 0.17007979 -0.23542007  0.00503897 -0.10729106],0.03380394458738757
[ 0.14653779 -0.22364295 -0.00569014 -0.06549966],0.08160305108689567
[ 0.12417349 -0.20625818 -0.0122401  -0.03597014],0.10738584226877702
[ 0.10354767 -0.18625332 -0.01583712 -0.01593487],0.1188823188243772
[ 0.08492234 -0.16548396 -0.0174306  -0.00279974],0.12121583658097321
[ 0.06837395 -0.14509432 -0.01771058  0.00548239],0.11782359370741544
"[0.18328941567972323, 0.3936859800903839, 0.09006446093498245, -0.2565900055940953]",-0.06164535923609227
[ 0.22265801  0.399388    0.06440546 -0.0216877 ],-0.3279739667298164
[0.26259681 0.34970905 0.06223669 0.01187229],-0.4355785083217074
[ 0.29756772  0.28079204  0.06342392 -0.00798701],-0.46386700460777885
[ 0.32564692  0.20830382  0.06262522 -0.03386852],-0.45081754967820054
[ 0.3464773   0.13929378  0.05923837 -0.05301005],-0.4162707114086748
[ 0.36040668  0.07691503  0.05393736 -0.0638675 ],-0.37137081666792987
[ 0.36809819  0.02241742  0.04755061 -0.06800483],-0.32266671880702064
[ 0.37033993 -0.02394111  0.04075013 -0.0674368 ],-0.2740636119881201
[ 0.36794582 -0.06243763  0.03400645 -0.06386974],-0.22785090268391708
"[-0.17098113144402502, -0.24953483967336507, 0.0011269343891383288, -0.25118247633446367]",0.32178648254425574
[-0.19593462 -0.18619129 -0.02399131 -0.0900305 ],0.3062470873875639
[-0.21455374 -0.13353977 -0.03299436 -0.01714858],0.28832949972674793
[-0.22790772 -0.08751044 -0.03470922  0.01711904],0.26445599253365976
[-0.23665877 -0.04711742 -0.03299732  0.03309217],0.23614229374454465
[-0.24137051 -0.0121494  -0.0296881   0.03969406],0.2057514864564829
[-0.24258545  0.01754171 -0.02571869  0.04120805],0.17526734943002262
[-0.24083128  0.04221145 -0.02159789  0.03989041],0.1460702847733677
[-0.23661013  0.06222566 -0.01760885  0.03702681],0.11901006986164611
[-0.23038756  0.07802234 -0.01390617  0.03338961],0.09453889021872988
"[0.19003635788162354, -0.07833976859359226, -0.06673856018635843, 0.14452436201089713]",0.6345669219972573
[ 0.18220238  0.02061106 -0.05228612  0.22845877],0.27491684658720056
[ 0.18426349  0.05623974 -0.02944025  0.18945957],0.07448580003138322
[ 0.18988746  0.06088832 -0.01049429  0.12896133],-0.0370183889822517
[0.19597629 0.05024509 0.00240184 0.07663905],-0.09593188724610537
[0.2010008  0.03253222 0.01006575 0.03823169],-0.12281127170135234
[0.20425403 0.01230362 0.01388892 0.01230848],-0.13010511711957412
[ 0.20548439 -0.00786091  0.01511976 -0.0040887 ],-0.12567791831905387
[ 0.2046983  -0.02652457  0.01471089 -0.01371777],-0.11460068042659774
[ 0.20204584 -0.04294401  0.01333912 -0.01873686],-0.10015546687442373
"[-0.09042767656975684, 0.09045522481380908, 0.06354577602383589, -0.05970662361946394]",-0.7676475953754729
[-0.08138215 -0.03376361  0.05757511 -0.21464649],-0.3619537121963077
[-0.08475851 -0.08356247  0.03611046 -0.19812369],-0.13500289440755595
[-0.09311476 -0.09693283  0.0162981  -0.14309426],-0.005957318494755924
[-0.10280804 -0.09189521  0.00198867 -0.09057129],0.06572247456978828
[-0.11199757 -0.0777428  -0.00706846 -0.05031156],0.10240452761125338
